UUID,Name,CSP,Account ID,Region,Connection,Cost ($/h),CPU capacity,CPU used,Memory capacity (MB),Memory used (MB),Kubernetes version,CloudNatix version,CloudNatix channel
63bbd816-1adf-47be-bd8a-8ae6509294d5,masholdings-dev-eks,aws,442049251927,ap-southeast-1,connected,1.9199999999999884,32000,762.8973055757011,1.37438953472e+11,2.3390507128193813e+10,v1.29.4-eks-036c24b,21.2,stable
c96125c5-f55f-4596-adf7-86e62bad3aa8,masholdings-prod-eks,aws,442049251927,ap-southeast-1,connected,2.839999999999969,48000,871.5771756334802,2.06158430208e+11,3.810481197359089e+10,v1.29.4-eks-036c24b,21.2,stable
c179ca8c-e771-408f-bf09-e856a75b3bbb,massmutual-preprod-migrate-eks,aws,422998893730,us-east-1,connected,2.3040000000000016,48000,1164.5589852297624,2.06158430208e+11,1.186907992304871e+11,v1.29.4-eks-036c24b,21.2,stable
bab778f8-b594-48c4-89a0-f71334068efc,massmutual-prod-support-eks,aws,422998893730,us-east-1,connected,2.3040000000000016,48000,1930.2031165060614,2.06158430208e+11,1.483793836124832e+11,v1.29.4-eks-036c24b,21.2,stable
fa3084e0-0ca3-4adc-ab5c-5870c251ce3c,massmutual-qa-eks,aws,422998893730,us-east-1,disconnected,0,64000,0,2.74877906944e+11,0,v1.29.5-eks-1de2ab1,21.2,stable
470d0868-87b3-42fd-ba67-d83cf4351195,mastercard-poc-eks,aws,797382084246,us-east-1,disconnected,0,0,0,0,0,v1.24.17-eks-b9c9ed7,21.2,stable
8954d82b-2181-4e14-ac6b-747244eb23ce,mastercard-prod-eks,aws,797382084246,us-east-1,connected,2.3040000000000016,48000,1880.5774542818158,2.06158430208e+11,1.5532809512676343e+11,v1.29.4-eks-036c24b,21.2,stable
1010c973-8533-46f9-9198-37d9cf6ed22f,mastercard-qa-eks,aws,797382084246,us-east-1,connected,1.5360000000000011,32000,1283.8868245874528,1.37438953472e+11,4.962454478057001e+10,v1.29.4-eks-036c24b,21.2,stable
2828e613-141c-4d35-9720-0b072e63f679,mastercard-sandbox-eks,aws,797382084246,us-east-1,connected,1.305599999999993,32000,784.4826511801078,1.37438953472e+11,3.3800771868638035e+10,v1.29.4-eks-036c24b,21.2,stable
2dadcfbe-15ef-48dc-8d4c-61399e61cdce,mastercardv2021-dev-eks,aws,797382084246,us-east-1,connected,1.5360000000000011,32000,947.9497617037705,1.37438953472e+11,4.738221330441403e+10,v1.29.4-eks-036c24b,21.2,stable
2537482f-f366-4c57-a491-6e0f753f7d10,matrixmedical-dev-eks,aws,442049251927,us-west-2,connected,0.7680000000000006,16000,935.6108046105152,6.8719476736e+10,2.3281256588815086e+10,v1.29.4-eks-036c24b,21.2,stable
7c41ae4c-2da3-4af9-b9f1-bf6a7e711024,matrixmedical-prod-eks,aws,442049251927,us-west-2,connected,1.1520000000000008,24000,1625.555331695441,1.03079215104e+11,3.5866882734945526e+10,v1.29.4-eks-036c24b,21.2,stable
2eb6bf98-822a-4be5-9395-435ee4e1733b,maurices-dev-eic-eks,aws,797382084246,us-east-1,connected,0.6527999999999965,16000,816.9729904982182,6.8719476736e+10,3.1097606829940376e+10,v1.29.4-eks-036c24b,21.2,stable
bd9af34b-0cc5-44f8-b4ee-98b0900bd14d,maxis-dev-migrate-eks,aws,368698334588,ap-southeast-1,disconnected,0.7989999999999999,16000,1549.4382736356692,6.8719476736e+10,3.1994255516561012e+10,v1.29.4-eks-036c24b,21.2,stable
1a07698b-76e6-4dc3-82ae-e78d014f788a,maxis-prod-migrate-eks,aws,368698334588,ap-southeast-1,connected,1.6320000000000014,32000,1746.7944138015498,1.37438953472e+11,6.381312130090096e+10,v1.29.4-eks-036c24b,21.2,stable
ceef651c-1474-41f6-8b0e-8b014143ec7f,mcdermott-dev-eks,aws,442049251927,us-east-1,connected,1.1520000000000008,24000,1313.4617061708475,1.03079215104e+11,5.101500651743625e+10,v1.29.4-eks-036c24b,21.2,stable
afd78eeb-133a-4d5b-98aa-d1af9e4d4ecd,mcdermott-prod-eks,aws,442049251927,us-east-1,connected,1.1280000000000008,24000,811.1538268497147,1.03079215104e+11,5.0646862708588394e+10,v1.29.4-eks-036c24b,21.2,stable
345ec6e7-f30a-4b7a-a4cc-fb51d2795209,mcdermott-test-eks,aws,442049251927,us-east-1,connected,0.6527999999999965,16000,837.4608969694942,6.8719476736e+10,2.6118834951754147e+10,v1.29.4-eks-036c24b,21.2,stable
781202b9-70b6-4c33-af13-ebf4d91d2d65,meritagehomes-dev-migrate-eks,aws,797382084246,us-west-1,connected,0,0,0,0,0,v1.29.4-eks-036c24b,21.2,stable
515934a2-27b5-4007-b371-c1e0f33f67d1,meritagehomes-prod-migrate-eks,aws,797382084246,us-west-1,connected,1.1424000000000019,24000,846.0757503268657,1.03079215104e+11,4.377261883882848e+10,v1.29.4-eks-036c24b,21.2,stable
db3cf2b8-79fa-4aae-b1f6-51d756f49551,metro-poc-eks,aws,533811351211,us-east-1,connected,0.6527999999999965,16000,875.5567946471033,6.8719476736e+10,2.3494965093265285e+10,v1.29.4-eks-036c24b,21.2,stable
233fc2be-183f-46db-967b-9047109ffa1f,mettlertoledo-dev-eks,aws,797382084246,eu-central-1,connected,1.2419999999999949,32000,1264.921083218424,1.37438953472e+11,4.499484792295845e+10,v1.29.4-eks-036c24b,21.2,stable
414adeb7-abf0-40f7-b568-60950b21836d,mettlertoledo-prod-eks,aws,797382084246,eu-central-1,connected,2.760000000000019,48000,1713.8326491180912,2.06158430208e+11,6.4851145820818565e+10,v1.29.4-eks-036c24b,21.2,stable
83c28079-2cfb-47c0-9910-181d4b1e9e63,mgb-dev-migrate-eks,aws,797382084246,us-east-1,connected,0.9656000000000025,24000,769.7808811232168,1.03079215104e+11,4.703795865269304e+10,v1.29.4-eks-036c24b,21.2,stable
844fafb8-a8d8-4cd1-ab80-68ed5298f407,mgb-eic-test-eks,aws,797382084246,us-east-1,connected,1.6320000000000159,40000,3207.482548604105,1.7179869184e+11,4.635615737585373e+10,v1.29.4-eks-036c24b,21.2,stable
a07a2246-6236-4814-9830-eefeb59857c5,mgb-prod-migrate-eks,aws,797382084246,us-east-1,connected,1.3056000000000094,32000,1313.6353908273502,1.37438953472e+11,8.521181162163852e+10,v1.29.4-eks-036c24b,21.2,stable
